stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000009_002,東京電力前,,36.310277,139.809241,000009_002,0
000009_003,商工会議所前,,36.309707,139.813656,000009_003,0
000009_004,城東公園入口,,36.309341,139.816456,000009_004,0
000009_005,ヤオハン南,,36.309017,139.819012,000009_005,0
000009_006,雨ヶ谷踏切北,,36.307234,139.820319,000009_006,0
000009_007,土塔二公民館西,,36.303179,139.821212,000009_007,0
000009_008,土塔二グラウンド北,,36.30194,139.823644,000009_008,0
000009_009,吉浜歯科前,,36.301666,139.827249,000009_009,0
000009_010,たいらや前,,36.30129,139.83206,000009_010,0
000009_011,犬塚8丁目,,36.30007,139.83362,000009_011,0
000009_012,スズヤス前,,36.29812,139.83346,000009_012,0
000009_013,小山工業団地北,,36.29642,139.83009,000009_013,0
000009_014,あけぼの公園前,,36.29332,139.82991,000009_014,0
000009_015,コマツ前,,36.29117,139.82975,000009_015,0
000009_016,五十鈴前,,36.28999,139.82968,000009_016,0
000009_017,関東農機前,,36.28836,139.82958,000009_017,0
000009_018,東京鉄鋼前,,36.28607,139.82943,000009_018,0
000009_019,コマツ南,,36.28467,139.82934,000009_019,0
000009_020,関東能開大西,,36.28311,139.82926,000009_020,0
000009_021,関東能開大正門,,36.28168,139.83021,000009_021,0
000009_022,鈴成自動車前,,36.28123,139.83479,000009_022,0
000009_023,横倉公民館,,36.278045,139.83737,000009_023,0
000010_001,横倉公民館,,36.278075,139.837384,000010_001,0
000010_002,鈴成自動車前,,36.281098,139.83488,000010_002,0
000010_003,関東能開大正門,,36.281573,139.830197,000010_003,0
000010_004,関東能開大西,,36.28308,139.82911,000010_004,0
000010_005,コマツ南,,36.2846,139.82921,000010_005,0
000010_006,東京鉄鋼前,,36.28611,139.82929,000010_006,0
000010_007,関東農機前,,36.28836,139.82941,000010_007,0
000010_008,五十鈴前,,36.29,139.82951,000010_008,0
000010_009,コマツ前,,36.29118,139.8296,000010_009,0
000010_010,あけぼの公園前,,36.29332,139.82973,000010_010,0
000010_011,小山工業団地北,,36.29642,139.82995,000010_011,0
000010_012,スズヤス前,,36.29809,139.83329,000010_012,0
000010_013,犬塚8丁目,,36.30005,139.83341,000010_013,0
000010_014,たいらや前,,36.30111,139.83205,000010_014,0
000010_015,吉浜歯科前,,36.301499,139.827359,000010_015,0
000010_016,土塔二グラウンド北,,36.301813,139.823642,000010_016,0
000010_017,土塔二公民館西,,36.303149,139.821045,000010_017,0
000010_018,雨ヶ谷踏切北,,36.307206,139.820155,000010_018,0
000010_019,ヤオハン南,,36.308591,139.819838,000010_019,0
000010_020,城東公園入口,,36.309192,139.816639,000010_020,0
000010_021,商工会議所前,,36.309625,139.813278,000010_021,0
